,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,profit
55,50488140379,2023-06-12 16:00:03.000,2023-06-12 16:00:03.310,2023-06-12 16:00:03.000,2023-06-12 16:00:03.310,0,sell,1,0,4,11031994,50488140379,0,3,1.0,0.0,1.25511,1.2574,1.25282,1.25511,0.0,GBPUSD,Ordem de venda e,,182.79
56,50488293534,2023-06-12 16:47:36.000,2023-06-12 16:47:36.877,2023-06-12 16:47:36.000,2023-06-12 16:47:36.877,0,sell,1,0,4,11031994,50488293534,0,3,1.0,0.0,1.2525,1.2558099999999999,1.25123,1.2525,0.0,GBPUSD,Ordem de venda e,,101.5
57,50488449315,2023-06-12 17:27:25.000,2023-06-12 17:27:25.021,2023-06-12 17:27:25.000,2023-06-12 17:27:25.021,0,sell,1,0,4,11031994,50488449315,0,3,1.0,0.0,1.25113,1.2542200000000001,1.24964,1.25113,0.0,GBPUSD,Ordem de venda e,,119.23
61,50490912592,2023-06-13 20:00:03.000,2023-06-13 20:00:03.135,2023-06-13 20:00:03.000,2023-06-13 20:00:03.135,0,buy,1,0,4,11031994,50490912592,0,3,1.0,0.0,1.2622900000000001,1.26018,1.26475,1.2622900000000001,0.0,GBPUSD,Ordem de compra ,,-167.44
62,50491024307,2023-06-13 21:15:01.000,2023-06-13 21:15:01.231,2023-06-13 21:15:01.000,2023-06-13 21:15:01.231,0,sell,1,0,4,11031994,50491024307,0,3,1.0,0.0,1.26009,1.26217,1.25759,1.26009,0.0,GBPUSD,Ordem de venda e,,-164.8
63,50491733413,2023-06-14 11:15:05.000,2023-06-14 11:15:05.189,2023-06-14 11:15:05.000,2023-06-14 11:15:05.190,0,buy,1,0,4,11031994,50491733413,0,3,1.0,0.0,1.2621,1.26018,1.26475,1.2621,0.0,GBPUSD,Ordem de compra ,,209.53
64,50492144888,2023-06-14 15:15:07.000,2023-06-14 15:15:07.208,2023-06-14 15:15:07.000,2023-06-14 15:15:07.208,0,buy,1,0,4,11031994,50492144888,0,3,1.0,0.0,1.26541,1.26336,1.26793,1.26541,0.0,GBPUSD,Ordem de compra ,,198.75
65,50492461818,2023-06-14 16:45:09.000,2023-06-14 16:45:09.453,2023-06-14 16:45:09.000,2023-06-14 16:45:09.454,0,buy,1,0,4,11031994,50492461818,0,3,1.0,0.0,1.26912,1.26654,1.27111,1.26912,0.0,GBPUSD,Ordem de compra ,,-203.7
66,50493464785,2023-06-15 04:15:06.000,2023-06-15 04:15:06.781,2023-06-15 04:15:07.000,2023-06-15 04:15:07.324,0,sell,1,0,4,11031994,50493464785,0,3,1.0,0.0,1.26486,1.26694,1.26236,1.26486,0.0,GBPUSD,Ordem de venda e,,-164.18
67,50494961381,2023-06-15 17:00:04.000,2023-06-15 17:00:04.907,2023-06-15 17:00:04.000,2023-06-15 17:00:04.907,0,buy,1,0,4,11031994,50494961381,0,3,1.0,0.0,1.27207,1.26972,1.27429,1.27207,0.0,GBPUSD,Ordem de compra ,,174.21
68,50495363411,2023-06-15 19:15:08.000,2023-06-15 19:15:08.934,2023-06-15 19:15:08.000,2023-06-15 19:15:08.934,0,buy,1,0,4,11031994,50495363411,0,3,1.0,0.0,1.27657,1.2744900000000001,1.2790599999999999,1.27657,0.0,GBPUSD,Ordem de compra ,,194.67
69,50497287497,2023-06-16 18:45:09.000,2023-06-16 18:45:09.080,2023-06-16 18:45:09.000,2023-06-16 18:45:09.080,0,sell,1,0,4,11031994,50497287497,0,3,1.0,0.0,1.2805900000000001,1.28284,1.27826,1.2805900000000001,0.0,GBPUSD,Ordem de venda e,,-175.39
70,50497400301,2023-06-16 20:00:53.000,2023-06-16 20:00:53.509,2023-06-16 20:00:53.000,2023-06-16 20:00:53.509,0,buy,1,0,4,11031994,50497400301,0,3,1.0,0.0,1.2828300000000001,1.28085,1.28542,1.2828300000000001,0.0,GBPUSD,Ordem de compra ,,-154.58
71,50498410704,2023-06-19 13:00:06.000,2023-06-19 13:00:06.286,2023-06-19 13:00:06.000,2023-06-19 13:00:06.286,0,sell,1,0,4,11031994,50498410704,0,3,1.0,0.0,1.28043,1.28284,1.27826,1.28043,0.0,GBPUSD,Ordem de venda e,,169.76
72,50499165422,2023-06-19 20:00:00.000,2023-06-19 20:00:00.963,2023-06-19 20:00:00.000,2023-06-19 20:00:00.963,0,sell,1,0,4,11031994,50499165422,0,3,1.0,0.0,1.27736,1.27966,1.27508,1.27736,0.0,GBPUSD,Ordem de venda e,,-179.74
73,50499317758,2023-06-20 00:45:06.000,2023-06-20 00:45:06.410,2023-06-20 00:45:06.000,2023-06-20 00:45:06.411,0,buy,1,0,4,11031994,50499317758,0,3,1.0,0.0,1.27995,1.27767,1.28224,1.27995,0.0,GBPUSD,Ordem de compra ,,-178.45
74,50499618390,2023-06-20 08:03:50.000,2023-06-20 08:03:50.950,2023-06-20 08:03:50.000,2023-06-20 08:03:50.950,0,sell,1,0,4,11031994,50499618390,0,3,1.0,0.0,1.27762,1.27966,1.27508,1.27762,0.0,GBPUSD,Ordem de venda e,,-159.42
75,50500054497,2023-06-20 12:15:02.000,2023-06-20 12:15:02.163,2023-06-20 12:15:02.000,2023-06-20 12:15:02.163,0,sell,1,0,4,11031994,50500054497,0,3,1.0,0.0,1.27763,1.27966,1.27508,1.27763,0.0,GBPUSD,Ordem de venda e,,199.99
